demand			
node	Major	Month	Demand
66	0	8	0.501
66	0	9	0.501
66	0	10	0.501
66	0	11	0.501
66	0	12	0.501
66	1	1	0.939
66	1	2	0.939
66	1	3	0.939
66	1	4	0.939
66	1	5	0.939
66	1	6	0.939
66	1	7	0.939
66	1	8	0.939
66	1	9	0.939
66	1	10	0.939
66	1	11	0.939
66	1	12	0.939
67	0	1	34.979
67	0	2	34.979
67	0	3	34.979
67	0	4	34.979
67	0	5	34.979
67	0	6	34.979
67	0	7	34.979
67	0	8	34.979
67	0	9	34.979
67	0	10	34.979
67	0	11	34.979
67	0	12	34.979
67	1	1	0.036
67	1	2	0.036
67	1	3	0.036
67	1	4	0.036
67	1	5	0.036
67	1	6	0.036
67	1	7	0.036
67	1	8	0.036
67	1	9	0.036
67	1	10	0.036
67	1	11	0.036
67	1	12	0.036
92	1	1	0.024
92	1	2	0.023
92	1	3	0.023
92	1	4	0.023
92	1	5	0.023
92	1	6	0.023
92	1	7	0.023
92	1	8	0.023
92	1	9	0.024
92	1	10	0.032
92	1	11	0.036
92	1	12	0.035
96	1	1	0.016
96	1	2	0.016
96	1	3	0.016
96	1	4	0.013
96	1	5	0.013
96	1	6	0.014
96	1	7	0.016
96	1	8	0.016
96	1	9	0.016
96	1	10	0.016
96	1	11	0.016
96	1	12	0.016
110	1	1	15.535
110	1	2	15.535
110	1	3	15.535
110	1	4	15.535
110	1	5	15.535
110	1	6	15.535
110	1	7	15.535
110	1	8	15.535
110	1	9	15.535
110	1	10	15.535
110	1	11	15.535
110	1	12	15.535
115	1	1	2.195
115	1	2	2.195
115	1	3	2.195
115	1	4	2.195
115	1	5	2.195
115	1	6	2.195
115	1	7	2.195
115	1	8	2.195
115	1	9	2.195
115	1	10	2.195
115	1	11	2.195
115	1	12	2.195
136	1	1	0.073
136	1	2	0.073
136	1	3	0
136	1	4	0
136	1	5	0
136	1	6	0
136	1	7	0.054
136	1	8	0.073
136	1	9	0.073
136	1	10	0.073
136	1	11	0.073
136	1	12	0.073
144	1	1	0.053
144	1	2	0.053
144	1	3	0.053
144	1	4	0.053
144	1	5	0.053
144	1	6	0.053
144	1	7	0.053
144	1	8	0.053
144	1	9	0.053
144	1	10	0.054
144	1	11	0.054
144	1	12	0.053
145	1	1	1.341
145	1	2	1.006
145	1	3	0
145	1	4	0
145	1	5	0
145	1	6	0
145	1	7	1.006
145	1	8	1.341
145	1	9	1.341
145	1	10	1.341
145	1	11	1.341
145	1	12	1.341
146	1	1	0.119
146	1	2	0.089
146	1	3	0
146	1	4	0
146	1	5	0
146	1	6	0
146	1	7	0.091
146	1	8	0.122
146	1	9	0.122
146	1	10	0.122
146	1	11	0.12
146	1	12	0.119
148	1	1	0.264
148	1	2	0.264
148	1	3	0.264
148	1	4	0.264
148	1	5	0.264
148	1	6	0.264
148	1	7	0.264
148	1	8	0.264
148	1	9	0.264
148	1	10	0.264
148	1	11	0.264
148	1	12	0.264
173	0	1	9.088
173	0	2	6.74
173	0	3	6.74
173	0	4	6.74
173	0	5	6.74
173	0	6	6.74
173	0	7	6.74
173	0	8	8.91
173	0	9	9.86
173	0	10	9.87
173	0	11	9.821
173	0	12	9.826
173	1	1	60.464
173	1	2	8.526
173	1	3	8.526
173	1	4	8.526
173	1	5	8.526
173	1	6	8.526
173	1	7	8.526
173	1	8	58.038
173	1	9	84.659
173	1	10	91.376
173	1	11	89.677
173	1	12	82.506
186	1	1	0.152
186	1	2	0.152
186	1	3	0.152
186	1	4	0.152
186	1	5	0.152
186	1	6	0.152
186	1	7	0.152
186	1	8	0.152
186	1	9	0.152
186	1	10	0.154
186	1	11	0.158
186	1	12	0.156
192	1	1	0.834
192	1	2	0.834
192	1	3	0.83
192	1	4	0.834
192	1	5	0.834
192	1	6	0.834
192	1	7	0.834
192	1	8	0.834
192	1	9	0.834
192	1	10	0.834
192	1	11	0.834
192	1	12	0.834
197	1	1	0.125
197	1	2	0.125
197	1	3	0.123
197	1	4	0.125
197	1	5	0.125
197	1	6	0.125
197	1	7	0.125
197	1	8	0.125
197	1	9	0.125
197	1	10	0.125
197	1	11	0.125
197	1	12	0.125
212	0	1	3.174
212	0	2	3.174
212	0	3	3.174
212	0	4	3.174
212	0	5	3.174
212	0	6	3.174
212	0	7	3.174
212	0	8	3.174
212	0	9	4.871
212	0	10	5.975
212	0	11	4.772
212	0	12	3.174
213	0	1	0.827
213	0	2	0.778
213	0	3	0.778
213	0	4	0.778
213	0	5	0.778
213	0	6	0.778
213	0	7	0.778
213	0	8	0.855
213	0	9	0.989
213	0	10	1.121
213	0	11	1.107
213	0	12	0.96
213	1	1	0.089
213	1	2	0.089
213	1	3	0.089
