channel_level		
chan	month	level1
17	4	0.0000
17	5	0.0000
17	6	0.0000
17	7	0.0000
17	8	9.2790
17	9	9.9927
17	10	9.9927
17	11	9.9927
17	12	9.9927
17	1	0.0000
17	2	0.0000
17	3	0.0000
20	4	19.9855
20	5	19.9855
20	6	19.9855
20	7	19.9855
20	8	19.9855
20	9	19.9855
20	10	19.9855
20	11	19.9855
20	12	19.9855
20	1	19.9855
20	2	19.9855
20	3	19.9855
23	4	23.9402
23	5	23.9402
23	6	23.9402
23	7	23.9402
23	8	23.9402
23	9	23.9402
23	10	23.9402
23	11	23.9402
23	12	23.9402
23	1	23.9402
23	2	23.9402
23	3	23.9402
