diversion_flows		
channel	month	flow
866	8	3531.47
866	9	3531.47
866	10	3531.47
866	11	3531.47
866	12	3531.47
866	1	3531.47
866	2	3531.47
866	3	0
902	4	0
902	5	0
902	6	0
902	7	3531.47
902	8	3531.47
902	9	3531.47
902	10	3531.47
902	11	3531.47
902	12	3531.47
902	1	3531.47
902	2	3531.47
902	3	0
824	4	0
824	5	0
824	6	0
824	7	3531.47
824	8	3531.47
824	9	3531.47
824	10	3531.47
824	11	3531.47
824	12	3531.47
824	1	3531.47
824	2	3531.47
824	3	0
128	4	0
128	5	0
128	6	0
128	7	3531.47
128	8	3531.47
128	9	3531.47
128	10	3531.47
128	11	3531.47
128	12	3531.47
128	1	3531.47
128	2	3531.47
128	3	0
139	4	0
139	5	0
139	6	0
139	7	56.5
139	8	56.5
139	9	56.5
139	10	56.5
139	11	56.5
139	12	56.5
139	1	56.5
139	2	56.5
139	3	0
439	4	0
439	5	0
439	6	0
439	7	3531.47
439	8	3531.47
439	9	3531.47
439	10	3531.47
439	11	3531.47
439	12	3531.47
439	1	3531.47
439	2	3531.47
439	3	0
467	4	0
467	5	0
467	6	0
467	7	3531.47
467	8	3531.47
467	9	3531.47
467	10	3531.47
467	11	3531.47
467	12	3531.47
467	1	3531.47
467	2	3531.47
467	3	0
828	4	0
828	5	0
828	6	0
828	7	3531.47
828	8	3531.47
828	9	3531.47
828	10	3531.47
828	11	3531.47
828	12	3531.47
828	1	3531.47
828	2	3531.47
828	3	0
826	4	0
826	5	0
826	6	0
826	7	3531.47
826	8	3531.47
826	9	3531.47
826	10	3531.47
826	11	3531.47
826	12	3531.47
826	1	3531.47
826	2	3531.47
826	3	0
111	4	0
111	5	0
111	6	0
111	7	3531.47
111	8	3531.47
111	9	3531.47
111	10	3531.47
111	11	3531.47
111	12	3531.47
111	1	3531.47
111	2	3531.47
111	3	0
855	4	0
855	5	0
855	6	0
855	7	3531.47
855	8	3531.47
855	9	3531.47
855	10	3531.47
855	11	3531.47
855	12	3531.47
855	1	3531.47
855	2	3531.47
855	3	0
856	4	0
856	5	0
856	6	0
856	7	3531.47
856	8	3531.47
856	9	3531.47
856	10	3531.47
856	11	3531.47
856	12	3531.47
856	1	3531.47
856	2	3531.47
856	3	0
857	4	0
857	5	0
857	6	0
857	7	3531.47
857	8	3531.47
857	9	3531.47
857	10	3531.47
857	11	3531.47
857	12	3531.47
857	1	3531.47
857	2	3531.47
857	3	0
860	4	0
860	5	0
860	6	0
860	7	3531.47
860	8	3531.47
860	9	3531.47
860	10	3531.47
860	11	3531.47
860	12	3531.47
860	1	3531.47
860	2	3531.47
860	3	0
861	4	0
861	5	0
861	6	0
861	7	3531.47
861	8	3531.47
861	9	3531.47
861	10	3531.47
861	11	3531.47
861	12	3531.47
861	1	3531.47
861	2	3531.47
861	3	0
862	4	0
862	5	0
862	6	0
862	7	3531.47
862	8	3531.47
862	9	3531.47
862	10	3531.47
862	11	3531.47
862	12	3531.47
862	1	3531.47
862	2	3531.47
862	3	0
721	4	0
721	5	0
721	6	0
721	7	176.57
721	8	176.57
721	9	176.57
721	10	176.57
721	11	176.57
721	12	176.57
721	1	176.57
721	2	176.57
721	3	0
627	4	0
627	5	0
627	6	0
627	7	3531.47
627	8	3531.47
627	9	3531.47
627	10	3531.47
627	11	3531.47
627	12	3531.47
627	1	3531.47
627	2	3531.47
627	3	0
922	4	0
922	5	0
922	6	0
922	7	3531.47
922	8	3531.47
922	9	3531.47
922	10	3531.47
922	11	3531.47
922	12	3531.47
922	1	3531.47
922	2	3531.47
922	3	0
121	4	0
121	5	0
121	6	0
121	7	3531.47
121	8	3531.47
121	9	3531.47
121	10	3531.47
121	11	3531.47
121	12	3531.47
121	1	3531.47
121	2	3531.47
121	3	0
122	4	0
122	5	0
122	6	0
122	7	0
122	8	3531.47
122	9	3531.47
122	10	3531.47
122	11	3531.47
122	12	3531.47
122	1	3531.47
122	2	3531.47
122	3	0
123	4	0
123	5	0
123	6	0
123	7	0
123	8	3531.47
123	9	3531.47
123	10	3531.47
123	11	3531.47
123	12	3531.47
123	1	3531.47
123	2	3531.47
123	3	0
124	4	0
124	5	0
124	6	0
124	7	0
124	8	3531.47
124	9	3531.47
124	10	3531.47
124	11	3531.47
124	12	3531.47
124	1	3531.47
124	2	3531.47
124	3	0
126	4	0
126	5	0
126	6	0
126	7	3531.47
126	8	3531.47
126	9	3531.47
126	10	3531.47
126	11	3531.47
126	12	3531.47
126	1	3531.47
126	2	3531.47
126	3	0
415	4	0
415	5	0
415	6	0
415	7	1.1
415	8	1.1
415	9	1.1
415	10	1.1
415	11	1.1
415	12	1.1
415	1	1.1
415	2	1.1
415	3	0
418	4	0
418	5	0
418	6	0
418	7	3531.47
418	8	3531.47
418	9	3531.47
418	10	3531.47
418	11	3531.47
418	12	3531.47
418	1	3531.47
418	2	3531.47
418	3	0
905	4	0
905	5	0
905	6	0
905	7	141.26
905	8	141.26
905	9	141.26
905	10	141.26
905	11	141.26
905	12	141.26
905	1	141.26
905	2	141.26
905	3	0
700	4	0
700	5	0
700	6	0
700	7	3531.47
700	8	3531.47
700	9	3531.47
700	10	3531.47
700	11	3531.47
700	12	3531.47
700	1	3531.47
700	2	3531.47
700	3	0
928	4	0
928	5	0
928	6	0
928	7	105.94
928	8	105.94
928	9	105.94
928	10	105.94
928	11	105.94
928	12	105.94
928	1	105.94
928	2	105.94
928	3	0
445	4	0
445	5	0
445	6	0
445	7	38.85
445	8	38.85
445	9	38.85
445	10	38.85
445	11	38.85
445	12	38.85
445	1	38.85
445	2	38.85
445	3	0
422	4	0
422	5	0
422	6	0
422	7	123.6
422	8	215.42
422	9	215.42
422	10	215.42
422	11	215.42
422	12	215.42
422	1	215.42
422	2	215.42
422	3	0
193	4	0
193	5	0
193	6	0
193	7	52.97
193	8	91.82
193	9	91.82
193	10	91.82
193	11	91.82
193	12	91.82
193	1	91.82
193	2	91.82
193	3	0
800	4	0
800	5	0
800	6	0
800	7	91.82
800	8	158.92
800	9	158.92
800	10	158.92
800	11	158.92
800	12	158.92
800	1	158.92
800	2	158.92
800	3	0
446	4	0
446	5	0
446	6	0
446	7	678.04
446	8	1137.13
446	9	1137.13
446	10	1137.13
446	11	1137.13
446	12	1137.13
446	1	1137.13
446	2	0
446	3	0
453	4	0
453	5	0
453	6	0
453	7	824.95
453	8	2999.98
453	9	2999.98
453	10	2999.98
453	11	2999.98
453	12	2999.98
453	1	2999.98
453	2	824.95
453	3	0
450	4	0
450	5	0
450	6	0
450	7	822.83
450	8	0
450	9	0
450	10	0
450	11	0
450	12	822.83
450	1	0
450	2	0
450	3	0
421	4	0
421	5	0
421	6	0
421	7	677.95
421	8	1179
421	9	1179
421	10	1179
421	11	1179
421	12	1179
421	1	1179
421	2	1179
421	3	0
