diversion_flows		
channel	month	flow
735	10	35314.7
735	11	35314.7
735	12	35314.7
735	1	35314.7
735	2	35314.7
735	3	0
433	4	0
433	5	0
433	6	0
433	7	35314.7
433	8	35314.7
433	9	35314.7
433	10	35314.7
433	11	35314.7
433	12	35314.7
433	1	35314.7
433	2	35314.7
433	3	0
432	4	0
432	5	0
432	6	0
432	7	35314.7
432	8	35314.7
432	9	35314.7
432	10	35314.7
432	11	35314.7
432	12	35314.7
432	1	35314.7
432	2	35314.7
432	3	0
437	4	0
437	5	0
437	6	0
437	7	35314.7
437	8	35314.7
437	9	35314.7
437	10	35314.7
437	11	35314.7
437	12	35314.7
437	1	35314.7
437	2	35314.7
437	3	0
431	4	0
431	5	0
431	6	0
431	7	35314.7
431	8	35314.7
431	9	35314.7
431	10	35314.7
431	11	35314.7
431	12	35314.7
431	1	35314.7
431	2	35314.7
431	3	0
434	4	0
434	5	0
434	6	0
434	7	35314.7
434	8	35314.7
434	9	35314.7
434	10	35314.7
434	11	35314.7
434	12	35314.7
434	1	35314.7
434	2	35314.7
434	3	0
738	4	0
738	5	0
738	6	0
738	7	35314.7
738	8	35314.7
738	9	35314.7
738	10	35314.7
738	11	35314.7
738	12	35314.7
738	1	35314.7
738	2	35314.7
738	3	0
739	4	0
739	5	0
739	6	0
739	7	35314.7
739	8	35314.7
739	9	35314.7
739	10	35314.7
739	11	35314.7
739	12	35314.7
739	1	35314.7
739	2	35314.7
739	3	0
730	4	0
730	5	0
730	6	0
730	7	35314.7
730	8	35314.7
730	9	35314.7
730	10	35314.7
730	11	35314.7
730	12	35314.7
730	1	35314.7
730	2	35314.7
730	3	0
732	4	0
732	5	0
732	6	0
732	7	35314.7
732	8	35314.7
732	9	35314.7
732	10	35314.7
732	11	35314.7
732	12	35314.7
732	1	35314.7
732	2	35314.7
732	3	0
430	4	0
430	5	0
430	6	0
430	7	35314.7
430	8	35314.7
430	9	35314.7
430	10	35314.7
430	11	35314.7
430	12	35314.7
430	1	35314.7
430	2	35314.7
430	3	0
425	4	0
425	5	0
425	6	0
425	7	1797.52
425	8	1797.52
425	9	1797.52
425	10	1797.52
425	11	1797.52
425	12	1797.52
425	1	1797.52
425	2	1797.52
425	3	0
426	4	0
426	5	0
426	6	0
426	7	2800.46
